image_id,true_classification,true_label,ocr_tokens,heuristic_label,notes
park_001,parking,Parking · P5 B,,,
park_002,parking,Parking · C6,,,
park_003,parking,Parking · D04,,,
park_004,parking,Parking · D6,,,
park_005,parking,Parking · P6 F,,,
park_006,parking,Parking · 8,IKEA,,
park_007,parking,Parking · B2 S20,,,
park_008,parking,Parking · A,Level 5,,
park_009,parking,Parking · 68 A,,,
park_010,parking,Parking · B01,Level 1,,
park_011,parking,Parking · P1 I,,,
park_012,parking,Parking · 12,"Level P1, Lobby E",,
park_013,parking,Parking · P2 D,,,
park_014,parking,Parking · P2 D,,,
park_015,parking,Parking · A,Level M,,
park_016,parking,Parking · P7 K,,,
park_017,parking,Parking · 10 B,Level 2,,
park_018,parking,Parking · P2 E,,,
park_019,parking,Parking · P3 F,,,
park_020,parking,Parking · P2 G23,,,
park_021,parking,Parking · B 4,Level B1,,
park_022,parking,Parking · 45,"Level P1, Lobby A",,
park_023,parking,Parking · P6 E,,,
park_024,parking,Parking · 41,"Level P1, Lobby B",,
park_025,parking,Parking · A3,,,
park_026,parking,Parking · P5 AA,,,
park_027,parking,Parking · P6 E,,,
park_028,parking,Parking · C8,,,
park_029,parking,Parking · P1 O,,,
park_030,parking,Parking · P1 N,,,
park_031,parking,Parking · P5 K,,,
park_032,parking,Parking · D02,Level 1,,
park_033,parking,Parking · C07,,,
park_034,parking,<null>,,,shows no parking number
park_035,parking,Parking · P3 C,,,
park_036,parking,Parking · D1,Level 1,,
park_037,parking,Parking · B 17,,,
park_038,parking,Parking · B 13,,,
park_039,parking,Parking · C3,,,
park_040,parking,Parking · C4,Level 3,,
park_041,parking,Parking · P1 J,,,
park_042,parking,Parking · P5 B,,,
park_043,parking,Parking · P2,I 11,,
park_044,parking,Parking · P1 H,,,
park_045,parking,<null>,,,blurry image
park_046,parking,Parking · B5,,,
park_047,parking,Parking · B5,,,
park_048,parking,Parking · 32,"Level P1, Lobby C",,
park_049,parking,Parking · C8,,,
park_050,parking,Parking · 50,"Level P1, Lobby A",,
park_051,parking,Parking · P1 H,,,
park_052,parking,Parking · 27,"Level P1, Lobby D",,
park_053,parking,Parking · I05,,,
park_054,parking,Parking · I03,,,
park_055,parking,Parking · H03,,,
park_056,parking,Parking · H03,,,
park_057,parking,Parking · H02,,,
park_058,parking,Parking · I02,,,
park_059,parking,Parking · I01,,,
park_060,parking,Parking · P3,,,
park_061,parking,Parking · P1,,,
park_062,parking,Parking · P2,,,
park_063,parking,Parking · P3,,,
park_064,parking,Parking · P1 E3,,,
park_065,parking,Parking · P1 E4,,,
park_066,parking,Parking · P1 F2,,,
park_067,parking,Parking · P1 E2,,,
park_068,parking,Parking · P1 E1,,,
park_069,parking,Parking · P1 A11,,,
park_070,parking,Parking · P1 A10,,,
park_071,parking,Parking · 13,"Level G, Row B",,
park_072,parking,Parking · 13,"Level G, Row A",,
park_073,parking,Parking · 13,"Level G, Row C",,
park_074,parking,Parking · 12,"Level G, Row D",,
park_075,parking,Parking · 12,"Level G, Row A",,
park_076,parking,Parking · 10,"Level G, Row A",,
park_077,parking,Parking · 14,"Level G, Row D",,
park_078,parking,Parking · 08,"Level G, Row B",,
park_079,parking,Parking · 07,"Level G, Row B",,
park_080,parking,Parking · 06,"Level G, Row B",,
park_081,parking,Parking · 07,"Level G, Row L",,
park_082,parking,Parking · 06,"Level G, Row L",,
park_083,parking,Parking · 05,"Level G, Row L",,
park_084,parking,Parking · 04,"Level G, Row L",,
